Movie Title and Release Year,Tomatometer Score,Audience Score,Worldwide Box Office Earnings,Production Budget for Film
Black Panther (2018),96,79,"$1,347,597,973",N/A
Citizen Kane (1941),99,90,"$1,600,719",N/A
Parasite (Gisaengchung) (2019),98,90,"$258,821,552","$11,400,000"
Avengers: Endgame (2019),94,90,"$2,797,501,328","$356,000,000"
Casablanca (1942),99,95,"$4,376,287",N/A
Knives Out (2019),97,92,"$311,398,301","$40,000,000"
Us (2019),93,59,"$255,184,580","$20,000,000"
Toy Story 4 (2019),97,94,"$1,073,394,593","$200,000,000"
Lady Bird (2017),99,79,"$78,966,486",N/A
Mission: Impossible - Fallout (2018),97,88,"$791,120,426","$178,000,000"
BlacKkKlansman (2018),96,83,"$93,400,823","$15,000,000"
The Wizard of Oz (1939),98,89,"$24,821,666",N/A
Get Out (2017),98,86,"$255,583,642",N/A
The Irishman (2019),95,86,"$968,853",N/A
Mad Max: Fury Road (2015),97,86,"$376,064,156","$150,000,000"
Spider-Man: Into the Spider-Verse (2018),97,93,"$375,540,831","$90,000,000"
Moonlight (2016),98,79,"$65,336,603","$4,000,000"
Wonder Woman (2017),93,83,"$822,303,505","$149,000,000"
A Star Is Born (2018),90,79,"$436,188,866","$36,000,000"
Inside Out (2015),98,89,"$858,071,350","$175,000,000"
The Farewell (2019),98,87,"$23,076,657",N/A
A Quiet Place (2018),96,83,"$340,952,971","$17,000,000"
Modern Times (1936),100,95,"$457,688",N/A
Eighth Grade (2018),99,82,"$14,347,433",N/A
Roma (2018),95,72,"$1,140,769",N/A
Booksmart (2019),96,77,"$24,863,452","$6,000,000"
Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),98,92,"$10,043,341",N/A
Dunkirk (2017),92,81,"$526,949,403","$100,000,000"
Coco (2017),97,94,"$807,817,888",N/A
A Night at the Opera (1935),97,91,N/A,N/A
The Godfather (1972),98,98,"$246,120,986","$6,000,000"
Selma (2014),99,86,"$66,787,908","$20,000,000"
Spotlight (2015),97,93,"$98,690,254",N/A
It Happened One Night (1934),98,93,N/A,N/A
La Grande illusion (Grand Illusion) (1938),97,92,"$19,821",N/A
The Shape of Water (2017),92,72,"$195,333,312",N/A
Thor: Ragnarok (2017),93,87,"$854,189,384","$180,000,000"
The Third Man (1949),99,93,"$1,226,098",N/A
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),98,89,"$8,811",N/A
Arrival (2016),94,82,"$203,388,186","$47,000,000"
Singin' in the Rain (1952),100,95,"$1,865,056",N/A
Logan (2017),93,90,"$619,179,950","$97,000,000"
The Favourite (2018),93,69,"$95,918,706",N/A
Double Indemnity (1944),97,95,"$13,886",N/A
Marriage Story (2019),94,85,"$333,686",N/A
Snow White and the Seven Dwarfs (1937),98,78,"$184,925,486",N/A
E.T. The Extra-Terrestrial (1982),98,72,"$792,910,554","$10,500,000"
The Big Sick (2017),98,88,"$56,411,585",N/A
Star Wars: The Last Jedi (2017),90,42,"$1,332,698,830","$317,000,000"
Star Wars: Episode VII - The Force Awakens (2015),93,86,"$2,068,455,919","$245,000,000"
All About Eve (1950),99,94,"$151,052",N/A
The Kid (1921),100,95,"$26,916",N/A
Boyhood (2014),97,80,"$48,137,666","$4,000,000"
Paddington 2 (2018),100,88,"$227,978,645",N/A
The Adventures of Robin Hood (1938),100,89,N/A,N/A
Once Upon a Time In Hollywood (2019),85,70,"$374,375,059","$90,000,000"
12 Years a Slave (2013),95,90,"$187,733,202","$20,000,000"
Manchester by the Sea (2016),96,78,"$78,988,148","$9,000,000"
Argo (2012),96,90,"$232,325,503","$44,500,000"
Leave No Trace (2018),100,81,"$7,682,928",N/A
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",97,87,"$19,054",N/A
King Kong (1933),98,86,$651,N/A
Spider-Man: Far From Home (2019),90,95,"$1,131,927,996","$160,000,000"
La La Land (2016),91,81,"$448,864,344","$30,000,000"
Alien (1979),98,94,"$106,285,522","$11,000,000"
1917 (2020),89,88,"$384,878,428","$95,000,000"
Incredibles 2 (2018),93,84,"$1,243,089,244",N/A
Zootopia (2016),98,92,"$1,023,792,558",N/A
Psycho (1960),96,95,"$32,040,242",N/A
Call Me by Your Name (2018),94,86,"$41,888,660",N/A
Laura (1944),100,91,N/A,N/A
Shadow of a Doubt (1943),100,89,$579,N/A
The Invisible Man (2020),91,88,"$143,151,000","$7,000,000"
Sunset Boulevard (1950),99,95,"$25,719",N/A
Gravity (2013),95,80,"$723,192,705","$100,000,000"
The Florida Project (2017),96,80,"$10,971,298",N/A
The Maltese Falcon (1941),100,91,"$1,255",N/A
War for the Planet of the Apes (2017),94,84,"$490,719,763","$150,000,000"
Widows (2018),91,61,"$75,984,700","$42,000,000"
